Temperature,Volume,D,SM1,SM2,W,Mixing,Time,SM1B,SM2B,SM3B,WB,P,I1,I2,I3,I4
30,1.2,0.01,1,1.1,0.5,100,5.25,0.001515403,0.793199549,0.957374176,0.511141831,0.20068994,0.000354395,0.015459228,3.82E-06,8.41E-06
30,1.2,0.01,1,1.1,0.5,100,6,0.001552354,0.766020592,0.93194794,0.509254945,0.225921623,0.000450439,0.01734553,4.40E-06,1.09E-05
30,1.2,0.01,1,1.2,0.1,300,0.75,0.001366401,0.941364507,1.213253299,0.09531091,0.037195562,1.44E-05,0.000585712,1.37E-07,2.75E-07
30,1.2,0.01,1,1.2,0.1,300,1.5,0.001404016,0.904603169,1.176971973,0.094751296,0.073392624,5.61E-05,0.001145193,2.70E-07,1.10E-06
30,1.2,0.01,1,1.2,0.1,300,2.25,0.001442982,0.869112595,1.141910285,0.094216672,0.108319964,0.000122574,0.00167968,4.07E-07,2.45E-06
30,1.2,0.01,1,1.2,0.1,300,3,0.001483337,0.834851237,1.108030175,0.093705905,0.142020447,0.000211458,0.002190308,5.46E-07,4.30E-06
30,1.2,0.01,1,1.2,0.1,300,3.75,0.001525129,0.801778933,1.075294716,0.09321792,0.174535429,0.000320522,0.002678151,6.88E-07,6.65E-06
30,1.2,0.01,1,1.2,0.1,300,4.5,0.001568407,0.769856853,1.043668083,0.092751696,0.205904823,0.00044773,0.003144229,8.34E-07,9.48E-06
30,1.2,0.01,1,1.2,0.1,300,5.25,0.001613225,0.739047455,1.013115522,0.092306267,0.236167151,0.000591207,0.003589509,9.83E-07,1.28E-05
30,1.2,0.01,1,1.2,0.1,300,6,0.001659625,0.709314449,0.983603348,0.091880712,0.265359569,0.000749225,0.004014912,1.14E-06,1.65E-05
30,1.2,0.1,1,1.1,0.1,300,0.75,0.019981933,0.593639701,0.790836946,0.098457877,0.323819122,0.000116748,0.000573289,2.20E-06,3.01E-06
30,1.2,0.1,1,1.1,0.1,300,1.5,0.026907131,0.382564066,0.572978034,0.098086663,0.541223111,0.000340345,0.000941655,5.05E-06,1.07E-05
30,1.2,0.1,1,1.1,0.1,300,2.25,0.035591635,0.246549541,0.42827899,0.097846372,0.685445855,0.000573064,0.001178152,8.85E-06,2.16E-05
30,1.2,0.1,1,1.1,0.1,300,3,0.045464414,0.160497829,0.332290781,0.097688777,0.780998195,0.000784528,0.001330823,1.38E-05,3.45E-05
30,1.2,0.1,1,1.1,0.1,300,3.75,0.055507713,0.106716654,0.268375005,0.097582488,0.844529027,0.000969842,0.001430973,1.99E-05,4.89E-05
30,1.2,0.1,1,1.1,0.1,300,4.5,0.064743276,0.073005993,0.225326407,0.097507781,0.887237473,0.001132299,0.001498368,2.72E-05,6.41E-05
30,1.2,0.1,1,1.1,0.1,300,5.25,0.07262792,0.05145994,0.195789608,0.097452702,0.916469439,0.001276785,0.001545099,3.56E-05,8.00E-05
30,1.2,0.1,1,1.1,0.1,300,6,0.079059319,0.037271438,0.175062991,0.097410132,0.936918039,0.001407647,0.001578458,4.48E-05,9.63E-05
30,1.2,0.1,1,1.2,0.5,100,0.75,0.020598489,0.573696566,0.937402732,0.506640988,0.327081712,0.000106181,0.002210578,8.88E-06,2.42E-06
30,1.2,0.1,1,1.2,0.5,100,1.5,0.028529995,0.352428801,0.709355992,0.505250486,0.55469288,0.000320819,0.003589413,2.05E-05,8.71E-06
30,1.2,0.1,1,1.2,0.5,100,2.25,0.039382169,0.208284084,0.554937222,0.504404149,0.708630795,0.000556772,0.004419619,3.67E-05,1.77E-05
30,1.2,0.1,1,1.2,0.5,100,3,0.052547333,0.119503773,0.453226388,0.503899475,0.809878464,0.000782995,0.004902388,5.86E-05,2.84E-05
30,1.2,0.1,1,1.2,0.5,100,3.75,0.06597242,0.068017151,0.388351948,0.503595932,0.874321826,0.0009926,0.005177596,8.69E-05,4.02E-05
30,1.2,0.1,1,1.2,0.5,100,4.5,0.077432525,0.039194185,0.347996838,0.503404358,0.914274435,0.001187557,0.005334842,0.000121248,5.28E-05
30,1.2,0.1,1,1.2,0.5,100,5.25,0.085985439,0.023051678,0.32316946,0.503273846,0.938720244,0.001371825,0.005426254,0.000160348,6.59E-05
30,1.2,0.1,1,1.2,0.5,100,6,0.091864199,0.013817471,0.307891156,0.503177099,0.953631118,0.001548889,0.005480491,0.000202859,7.92E-05
50,0.8,0.01,1,1.1,0.1,300,0.75,0.001362769,0.778239463,0.906928516,0.091933423,0.186007099,0.000967089,0.009900533,2.41E-06,1.26E-05
